,T10Y3M,T10Y3M_1,T10Y3M_2,T10Y3M_3,T10Y3M_4,T10Y3M_5,T10Y3M_6,T10Y3M_7,T10Y3M_8,T10Y3M_9,T10Y3M_10,T10Y3M_11,T10Y3M_12,T10Y3M_13,T10Y3M_14,T10Y3M_15,T10Y3M_16,T10Y3M_17,T10Y3M_18,T10Y3M_19,T10Y3M_20,T10Y3M_21,T10Y3M_22,T10Y3M_23,T10Y3M_24,T10Y3M_25,T10Y3M_26,T10Y3M_27,T10Y3M_28,T10Y3M_29,T10Y3M_30,T10Y3M_31,T10Y3M_32,T10Y3M_33,T10Y3M_34,T10Y3M_35,T10Y3M_36,T10Y3M_37,T10Y3M_38,T10Y3M_39,T10Y3M_40,T10Y3M_41,T10Y3M_42,T10Y3M_43,T10Y3M_44,T10Y3M_45,T10Y3M_46,T10Y3M_47,T10Y3M_48,T10Y3M_49,T10Y3M_50,T10Y3M_51,T10Y3M_52,T10Y3M_53,T10Y3M_54,T10Y3M_55,T10Y3M_56,T10Y3M_57,T10Y3M_58,T10Y3M_59,T10Y3M_60,T10Y3M_61,T10Y3M_62,T10Y3M_63,T10Y3M_64,T10Y3M_65,T10Y3M_66,T10Y3M_67,T10Y3M_68,T10Y3M_69,T10Y3M_70,T10Y3M_71,T10Y3M_72,T10Y3M_73,T10Y3M_74,T10Y3M_75,T10Y3M_76,T10Y3M_77,T10Y3M_78,T10Y3M_79,T10Y3M_80,T10Y3M_81,T10Y3M_82,T10Y3M_83,T10Y3M_84,T10Y3M_85,T10Y3M_86,T10Y3M_87,T10Y3M_88,T10Y3M_89
1989-07-01,-0.04,0.6,-0.33,-0.32,0.1,0.25,0.33,0.5,0.33,0.2,-0.62,1.6,-0.12,-0.11,-0.1,0.75,-0.81,0.05,-0.33,-0.05,-0.05,-0.05,1.69,-0.19,0.78,-0.5,-0.07,-0.06,-0.06,-0.29,-0.03,0.33,0.0,-1.0,-0.5,-0.33,-0.11,3.5,-2.33,-1.75,5.0,-1.25,-0.56,-0.4,-0.57,-0.23,0.07,-0.03,-0.03,-0.03,-0.18,0.15,-0.03,0.42,-0.03,-0.03,-0.03,0.18,0.0,0.16,-0.05,-0.15,-0.13,-0.12,-0.09,0.26,0.5,0.12,-0.08,-0.07,-0.07,-0.2,-0.29,0.06,0.22,0.01,0.01,0.01,0.04,-0.19,0.15,0.23,0.12,0.13,0.16,4.0,0.5,-0.33,-0.5,-0.05
1989-10-01,-0.05,-0.05,-0.19,-0.2,-0.26,0.17,0.05,0.05,0.05,1.0,0.43,-0.59,-0.26,-0.1,-0.09,-0.09,0.03,-0.09,0.32,0.39,0.17,0.21,0.27,0.0,0.25,1.0,0.0,-1.0,-0.5,-0.33,-0.3,-0.09,0.1,9.0,0.0,-1.0,-0.5,-0.5,0.33,-0.25,0.0,-1.0,-0.5,-0.33,-0.33,-1.3,0.0,0.25,-0.17,-0.15,-0.13,0.18,-0.15,-0.41,0.22,0.1,0.11,0.13,0.3,-0.23,-0.13,-0.32,-0.04,-0.04,-0.04,0.0,-0.11,-0.07,-0.06,0.0,0.0,0.0,0.39,1.09,1.2,-0.62,0.22,0.28,0.39,1.0,-4.0,-1.33,2.0,-2.5,-0.71,-0.42,-0.2,-0.17,0.0,-1.0
1990-01-01,-1.0,-0.5,-0.33,-5.33,-0.4,-0.29,0.0,-1.0,-0.5,-0.33,-0.5,-0.2,-0.67,0.88,0.04,0.05,0.05,-0.22,-0.31,0.62,0.6,0.07,0.08,0.08,-0.43,0.4,-6.0,-0.67,0.0,0.0,0.0,0.0,-1.0,-0.64,0.83,1.25,-5.0,-0.83,0.0,-1.0,-0.25,-0.43,0.11,0.12,0.13,-0.5,0.25,0.6,-0.17,0.06,0.06,0.07,-0.17,-0.14,-0.3,-0.23,-0.02,-0.02,-0.02,0.17,-0.14,0.17,0.33,0.04,0.04,0.04,-5.0,-0.6,-0.58,0.33,-0.25,-0.2,-0.17,0.38,-0.5,-0.19,0.14,0.5,1.0,0.0,-1.0,-0.27,-0.21,0.0,-1.0,-0.5,-0.33,0.67,-0.29,-0.06
1990-04-01,0.01,0.01,0.16,0.28,0.11,-0.08,0.01,0.01,0.01,0.03,0.12,0.1,-0.22,-0.03,-0.03,-0.03,-0.11,0.07,-0.11,0.27,-0.02,-0.02,-0.02,0.0,-0.03,-0.05,-0.25,0.02,0.03,0.03,0.02,0.09,0.12,-0.14,-0.07,-0.07,-0.06,0.09,-0.1,0.09,0.0,-1.0,-0.5,-0.33,0.04,-0.06,-0.04,0.24,0.11,0.12,0.14,-0.29,-0.07,-0.08,0.07,0.02,0.02,0.02,0.07,-0.07,-0.16,0.02,-0.04,-0.04,-0.04,0.19,0.04,0.36,0.18,0.02,0.03,0.03,-0.07,0.27,-0.29,0.0,-1.0,-0.5,-0.33,0.5,-0.14,0.27,-0.04,0.05,0.05,0.05,0.43,0.4,-0.09,0.0
1990-07-01,0.0,0.0,-0.09,0.0,-0.04,-0.08,0.04,0.04,0.04,-0.04,-0.06,0.02,-0.11,0.04,0.04,0.04,0.11,-0.02,-0.04,0.0,-0.01,-0.01,-0.01,0.0,0.0,-0.02,0.06,-0.01,-0.01,-0.01,-0.15,0.0,-0.08,0.0,-1.0,-0.5,-0.33,0.0,-0.03,0.06,-0.08,-0.01,-0.01,-0.01,-0.03,0.01,0.01,0.03,-0.02,-0.02,-0.02,-0.11,-0.02,0.12,0.0,-0.02,-0.02,-0.02,-0.08,-0.03,0.03,-0.08,-0.01,-0.01,-0.01,0.03,0.03,-0.02,-0.01,-0.01,-0.01,-0.01,0.23,0.04,0.05,0.1,0.5,1.0,0.0,-1.0,0.03,0.09,0.1,-0.03,-0.03,-0.02,-0.02,0.02,0.0,-0.1
1990-10-01,-0.03,-0.03,-0.03,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.09,0.03,-0.04,0.0,0.0,0.0,0.0,0.04,0.02,0.04,-0.01,-0.0,-0.0,-0.0,-0.03,-0.02,-0.01,0.0,-1.0,-0.5,-0.33,0.06,0.04,-0.07,0.08,-0.05,-0.05,-0.05,0.08,0.14,0.05,-0.03,-0.01,-0.01,-0.01,0.05,0.1,-0.04,-0.07,0.0,0.0,0.0,0.04,-0.13,-0.02,0.0,0.08,0.09,0.1,0.25,0.18,0.0,0.03,-0.03,-0.03,-0.03,-0.02,-0.03,-0.09,0.0,0.03,0.03,0.03,-0.04,0.03,0.23,-0.02,-0.01,-0.01,-0.01,0.07,0.08,0.04,-0.02,0.01,0.01,0.01,0.0,0.0,-1.0
1991-01-01,-1.0,-0.01,-0.01,-0.01,0.04,-0.02,0.0,-1.0,0.04,0.04,0.04,0.02,0.11,0.11,0.05,0.0,0.0,0.0,0.06,0.02,0.03,-0.03,-0.01,-0.01,-0.01,-0.03,0.03,-0.03,0.02,-0.03,-0.03,-0.03,-0.04,0.05,0.0,0.0,-0.01,-0.01,-0.01,0.0,-1.0,0.01,-0.03,0.01,0.01,0.01,-0.06,-0.01,-0.04,0.0,-1.0,-0.5,-0.33,-0.03,0.01,0.03,0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,0.01,0.01,0.01,0.01,0.05,0.01,0.0,0.03,0.01,0.01,0.01,-0.07,-0.08,-0.06,0.0,-0.02,-0.02,-0.02,-0.06,0.08,0.02,0.0,-1.0,-0.5,-0.33,0.05,-0.02
1991-04-01,0.5,1.0,0.0,-1.0,0.02,0.0,0.01,-0.0,-0.0,-0.0,-0.01,-0.01,-0.02,0.02,0.0,0.0,0.0,0.02,0.04,-0.02,0.03,0.0,0.0,0.0,0.09,-0.02,0.0,-0.03,0.01,0.01,0.01,0.03,0.02,0.02,-0.01,-0.01,-0.01,-0.01,0.0,0.03,0.04,0.0,-1.0,-0.5,-0.33,-0.04,0.02,-0.01,0.02,0.01,0.01,0.01,-0.02,0.0,0.01,-0.02,-0.0,-0.0,-0.0,0.05,0.0,0.01,0.01,-0.02,-0.02,-0.02,0.01,-0.02,-0.06,0.0,-1.0,-0.5,-0.33,0.02,-0.13,0.02,0.0,0.02,0.02,0.02,0.06,-0.03,0.19,0.07,0.03,0.03,0.03,0.0,-0.02,0.0
1991-07-01,-0.0,-0.0,-0.0,-0.02,-0.0,0.01,0.0,0.0,0.0,0.0,0.0,-0.01,0.03,0.0,0.0,0.0,0.0,-0.02,-0.02,0.03,0.01,-0.0,-0.0,-0.0,0.02,0.02,0.01,0.02,0.0,0.0,0.0,-0.02,-0.02,-0.01,0.0,-1.0,-0.5,-0.33,0.0,0.04,0.02,-0.03,-0.01,-0.01,-0.01,-0.02,0.02,0.01,0.02,-0.01,-0.01,-0.01,0.04,0.0,-0.01,-0.01,0.0,0.0,0.0,0.03,0.02,-0.02,0.02,0.0,0.0,0.0,-0.01,0.03,-0.0,-0.02,0.02,0.02,0.02,-0.0,-0.02,0.02,0.0,-0.02,-0.02,-0.02,-0.02,0.02,0.03,0.04,0.01,0.01,0.01,0.01,-0.01,0.01
1991-10-01,-0.0,0.0,0.0,0.0,-0.03,0.01,0.01,0.02,-0.01,-0.01,-0.01,-0.01,-0.01,0.0,-0.01,-0.01,-0.01,-0.01,0.03,-0.01,-0.0,0.02,-0.0,-0.0,-0.0,-0.02,0.01,0.01,0.0,-1.0,-0.5,-0.33,0.01,-0.02,0.01,0.0,0.0,0.0,0.0,0.0,-0.02,-0.07,-0.0,0.02,0.02,0.02,0.02,0.0,-0.04,-0.0,-0.0,-0.0,-0.0,0.02,0.03,-0.0,0.01,-0.01,-0.01,-0.01,-0.02,-0.01,0.01,0.01,0.0,0.0,0.0,0.0,-0.02,-0.02,0.01,0.0,0.0,0.0,-0.01,0.01,0.0,0.0,-0.0,-0.0,-0.0,-0.01,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1992-01-01,-1.0,-0.01,-0.01,-0.01,-0.01,-0.02,0.0,-1.0,-0.01,-0.01,-0.01,-0.01,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-0.01,0.02,-0.02,0.0,0.0,0.0,0.04,0.01,-0.02,-0.0,-0.01,-0.01,-0.01,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.02,0.03,0.0,0.0,0.0,0.01,-0.02,0.02,0.0,-1.0,-0.5,-0.33,-0.0,-0.03,0.03,0.02,0.0,0.0,0.0,0.03,0.0,0.01,-0.03,-0.0,-0.0,-0.0,0.02,0.01,0.02,0.01,0.01,0.01,0.01,-0.01,0.02,0.0,0.0,-1.0,-0.5,-0.33,-0.02,0.02,0.04,0.02,0.0,0.0,0.0,-0.03
1992-04-01,-0.01,0.0,-0.0,-0.0,-0.0,-0.01,0.01,0.01,-0.02,-0.0,-0.0,-0.0,0.02,-0.01,0.0,-0.01,-0.0,-0.0,-0.0,0.01,0.03,0.02,0.0,-0.0,-0.0,-0.0,-0.01,0.02,0.0,0.02,0.0,0.0,0.0,-0.02,0.01,-0.03,-0.01,-0.0,-0.0,-0.0,-0.0,-0.01,-0.02,0.0,-1.0,-0.5,-0.33,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.02,0.01,-0.02,-0.01,0.0,0.0,0.0,-0.0,0.03,0.02,-0.02,-0.0,-0.0,-0.0,0.0,0.03,0.02,0.0,-1.0,-0.5,-0.33,-0.01,0.04,0.0,0.04,0.01,0.01,0.01,0.0,-0.01,0.01,0.0,0.0,0.0,0.0,0.03
1992-07-01,-0.01,0.01,0.0,0.0,0.0,0.0,-0.01,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.01,0.0,-0.0,-0.0,-0.0,-0.0,-0.01,0.0,0.01,0.01,-0.0,-0.0,-0.0,-0.01,0.01,0.01,-0.01,0.0,0.0,0.0,-0.01,-0.02,0.01,0.0,-1.0,-0.5,-0.33,-0.01,0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.02,0.01,0.0,0.0,-0.0,-0.0,-0.0,-0.02,0.01,-0.02,-0.01,0.0,0.0,0.0,0.01,0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.01,0.01,-0.0,0.0,0.5,1.0,0.0,-1.0,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.03,0.01,0.02,0.0,0.0,0.0,0.0
1992-10-01,-0.02,0.01,0.0,0.0,0.0,0.0,0.01,-0.01,0.01,0.02,-0.0,-0.0,-0.0,0.0,0.0,0.01,0.01,-0.0,-0.0,-0.0,0.01,0.0,0.0,0.0,-1.0,-0.5,-0.33,0.03,0.0,-0.0,-0.01,-0.0,-0.0,-0.0,-0.0,-0.01,-0.01,0.01,0.01,0.01,0.01,0.02,-0.0,-0.01,-0.02,0.0,0.0,0.0,0.0,0.03,-0.0,-0.01,-0.0,-0.0,-0.0,-0.02,0.01,-0.01,-0.01,0.0,0.0,0.0,0.01,0.03,-0.01,-0.02,-0.01,-0.01,-0.01,0.0,-0.03,-0.01,-0.0,-0.0,-0.0,-0.0,0.01,-0.01,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-0.01,0.5,1.0,0.0
1993-01-01,-1.0,0.02,0.02,0.0,0.5,1.0,0.0,-1.0,0.01,0.01,-0.02,-0.01,-0.01,-0.01,0.01,0.0,-0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.02,-0.01,-0.01,-0.01,-0.01,-0.01,0.01,-0.01,-0.01,-0.0,-0.0,-0.0,0.0,-1.0,0.0,0.0,-0.0,-0.0,-0.0,-0.01,0.01,-0.02,-0.02,0.0,0.0,0.0,0.0,0.0,-1.0,-0.02,-0.0,-0.0,-0.0,0.01,-0.0,0.01,-0.01,0.0,0.0,0.0,0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,0.02,-0.01,0.01,0.03,0.0,0.0,0.0,0.02,0.01,-0.01,0.0,-1.0,-0.5,-0.33,0.02,-0.0,0.02,0.01,-0.01,-0.01
1993-04-01,0.01,0.01,-0.0,-0.0,-0.0,-0.0,0.03,0.01,0.01,-0.01,0.01,0.01,0.01,0.0,-0.02,-0.01,-0.03,0.0,0.0,0.0,0.05,0.0,0.02,0.02,-0.0,-0.0,-0.0,-0.01,-0.01,-0.01,0.0,-0.01,-0.01,-0.01,0.0,0.01,0.02,-0.05,-0.01,-0.01,-0.01,-0.02,-0.03,-0.01,0.0,-1.0,-0.5,-0.33,-0.01,-0.0,-0.01,0.01,0.0,0.0,0.0,-0.02,-0.01,0.01,0.02,-0.01,-0.01,-0.01,-0.01,-0.01,0.01,0.01,-0.01,-0.01,-0.01,-0.0,0.01,0.01,0.0,-1.0,-0.5,-0.33,-0.0,-0.01,0.01,0.01,-0.0,-0.0,-0.0,0.01,0.03,0.01,0.01,0.5,1.0,0.0
1993-07-01,0.01,0.0,0.0,0.0,0.0,0.0,-0.01,-0.0,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-0.01,0.0,0.0,-0.0,-0.0,-0.0,-0.01,0.0,0.0,0.0,-0.01,-0.01,-0.01,0.0,0.0,-0.0,0.0,-1.0,-0.5,-0.33,0.02,-0.01,-0.01,0.01,-0.01,-0.01,-0.01,0.01,-0.01,0.0,0.03,-0.0,-0.0,-0.0,-0.01,0.01,0.02,0.0,-0.01,-0.01,-0.01,0.01,-0.0,-0.0,-0.01,-0.01,-0.01,-0.01,0.02,-0.01,0.0,0.02,0.0,0.0,0.0,0.01,-0.01,-0.01,0.01,0.0,0.0,0.0,0.0,-0.01,0.0,0.01,0.5,1.0,0.0,-1.0,-0.03,-0.0,-0.02,-0.0,-0.0,-0.0
1993-10-01,-0.02,0.03,0.02,-0.01,-0.01,-0.01,-0.01,0.0,-0.02,-0.01,0.03,0.01,0.01,0.01,0.0,-0.0,0.02,0.05,-0.01,-0.01,-0.01,-0.02,0.05,-0.0,0.0,-1.0,-0.5,-0.33,-0.02,-0.01,0.0,0.0,-0.0,-0.0,-0.0,0.01,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.02,-0.02,0.01,0.02,-0.01,-0.01,-0.01,-0.02,0.01,-0.02,0.0,-0.0,-0.0,-0.0,0.0,0.01,0.01,0.0,-0.01,-0.01,-0.01,0.0,-0.01,0.0,-0.0,-0.0,-0.0,-0.0,0.02,0.02,0.03,0.01,-0.01,-0.01,-0.01,-0.0,0.0,-0.01,0.01,-0.0,-0.0,-0.0,-0.01,0.0,0.0,0.0,-1.0,-0.5
1994-01-01,0.0,-0.01,0.05,0.03,0.0,0.5,1.0,0.0,-1.0,-0.01,-0.04,0.01,-0.0,-0.0,-0.0,-0.01,0.0,0.01,0.02,0.01,0.01,0.01,0.02,-0.0,0.0,0.0,-0.01,-0.01,-0.01,-0.0,0.0,0.0,0.02,-0.01,-0.01,-0.01,0.0,-1.0,0.01,-0.02,0.0,0.01,0.01,0.04,0.02,-0.0,-0.0,0.0,0.0,0.0,0.0,-1.0,0.03,-0.03,-0.01,-0.01,-0.01,0.04,0.0,0.03,0.03,0.01,0.01,0.01,0.01,0.0,0.01,-0.03,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,-0.02,-0.01,0.01,0.0,-1.0,-0.5,-0.33,-0.03,-0.01,0.01,-0.01,-0.01
1994-04-01,-1.0,0.0,0.03,0.02,0.0,0.0,0.0,-0.0,0.05,0.02,-0.0,-0.01,-0.01,-0.01,0.02,0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.01,0.05,0.01,0.01,-0.01,-0.01,-0.01,-0.01,0.01,0.02,0.01,-0.01,-0.01,-0.01,-0.0,0.04,0.01,0.0,-1.0,-0.5,-0.33,0.03,0.04,0.0,-0.01,0.0,0.0,0.0,-0.01,-0.01,-0.03,0.02,0.0,0.0,0.0,0.01,-0.01,-0.01,0.01,-0.01,-0.0,-0.0,-0.02,-0.01,0.0,0.02,0.0,0.0,0.0,0.01,-0.01,0.01,0.0,-1.0,-0.5,-0.33,0.02,0.05,-0.02,0.01,-0.0,-0.0,-0.0,-0.03,-0.01,0.01,-0.01,0.0,0.0
1994-07-01,-0.02,0.03,0.0,0.03,-0.0,-0.0,-0.0,0.04,-0.0,-0.02,0.01,-0.0,-0.0,-0.0,0.02,-0.01,0.03,-0.01,0.0,0.0,0.0,0.02,0.0,0.01,0.03,-0.01,-0.01,-0.01,-0.03,-0.0,-0.01,0.0,-1.0,-0.5,-0.33,0.0,-0.01,0.0,0.0,0.01,0.01,0.01,0.01,-0.01,0.0,-0.07,-0.01,-0.01,-0.01,-0.02,0.01,0.03,-0.02,0.0,0.0,0.0,0.02,-0.0,-0.01,0.01,-0.01,-0.01,-0.01,0.01,0.0,-1.0,-0.01,-0.02,-0.02,-0.02,0.0,-0.04,-0.02,-0.01,0.0,0.0,0.0,-0.01,0.01,0.02,-0.0,-0.01,-0.01,-0.01,0.01,-0.0,0.01,-0.04,0.5,1.0
1994-10-01,-0.02,-0.04,0.01,0.05,0.05,-0.0,-0.0,-0.0,0.01,0.0,-0.05,0.01,-0.0,-0.0,-0.0,0.05,-0.02,-0.0,0.0,-0.0,-0.0,-0.0,0.04,0.0,0.02,0.0,-1.0,-0.5,-0.33,0.01,0.0,0.01,-0.01,-0.01,-0.01,-0.01,-0.02,0.02,-0.01,0.0,0.0,0.0,0.0,0.0,0.04,0.0,-0.05,-0.02,-0.02,-0.02,-0.05,0.03,0.01,0.03,0.0,0.0,0.0,0.0,0.02,-0.01,-0.0,-0.01,-0.01,-0.01,-0.01,-0.01,0.0,0.01,-0.01,-0.01,-0.01,-0.01,-0.0,0.02,-0.01,-0.01,-0.01,-0.01,0.01,-0.02,0.01,0.0,-0.01,-0.01,-0.01,-0.0,0.0,0.01,0.0,-1.0
1995-01-01,-0.5,-0.33,0.0,0.02,0.05,0.0,-1.0,-0.5,-0.33,-0.03,-0.0,0.03,0.06,-0.01,-0.01,-0.01,0.0,0.07,0.04,-0.02,-0.01,-0.01,-0.01,0.01,-0.02,0.11,-0.01,-0.04,-0.04,-0.04,-0.09,0.01,-0.03,-0.01,-0.01,-0.01,-0.01,0.0,-1.0,-0.06,0.0,-0.0,-0.0,-0.0,-0.0,0.03,0.03,-0.04,0.5,1.0,0.0,-1.0,0.0,-0.02,0.0,-0.01,-0.01,-0.01,0.0,-0.01,0.01,0.03,-0.01,-0.01,-0.01,-0.04,0.0,0.03,0.02,-0.0,-0.0,-0.0,0.0,0.01,0.01,0.01,-0.0,-0.0,-0.0,0.01,0.01,-0.01,0.0,-1.0,-0.5,-0.33,0.0,-0.0,0.03,0.0
1995-04-01,-0.03,0.02,-0.02,0.04,0.03,-0.0,-0.0,-0.0,-0.06,0.02,0.05,0.04,-0.0,-0.0,-0.0,0.06,-0.03,0.01,-0.07,-0.01,-0.01,-0.01,-0.09,-0.01,-0.05,0.01,0.0,0.0,0.0,0.06,0.06,0.01,-0.03,-0.03,-0.03,-0.03,-0.01,-0.02,-0.02,0.0,-1.0,-0.5,-0.33,0.01,0.03,-0.03,-0.05,-0.0,-0.0,-0.0,0.01,0.03,0.03,-0.01,0.0,0.0,0.0,-0.08,0.04,-0.01,-0.05,-0.01,-0.01,-0.01,-0.04,-0.02,-0.01,0.01,-0.01,-0.01,-0.01,0.02,0.02,0.02,0.0,-1.0,-0.5,-0.33,-0.02,0.01,0.04,0.02,-0.01,-0.01,-0.01,-0.02,0.02,0.02,0.0,-1.0
1995-07-01,-0.04,0.0,0.15,-0.05,-0.05,0.04,0.04,0.04,0.04,-0.06,0.04,0.02,-0.03,-0.03,-0.03,0.04,-0.02,0.02,-0.17,0.01,0.01,0.01,0.37,0.0,0.18,-0.03,-0.09,-0.08,-0.08,-0.02,0.08,0.0,0.0,-1.0,-0.5,-0.33,0.02,-0.04,-0.14,-0.08,-0.01,-0.01,-0.01,0.0,0.1,-0.04,-0.05,-0.03,-0.03,-0.03,-0.05,0.0,0.05,-0.1,-0.02,-0.02,-0.02,-0.11,-0.04,-0.03,-0.03,-0.01,-0.01,-0.01,0.03,0.01,0.0,-0.02,-0.01,-0.01,-0.01,-0.02,-0.01,0.01,0.01,0.5,1.0,0.0,-1.0,0.03,-0.01,-0.02,0.01,0.01,0.01,0.01,0.0,0.02,0.01,-0.03
1995-10-01,-0.07,-0.06,-0.08,-0.05,0.06,-0.11,0.01,0.01,0.01,0.11,0.07,-0.03,0.03,0.05,0.05,0.06,0.02,-0.1,0.03,-0.07,0.01,0.01,0.01,0.01,0.03,0.0,0.0,-1.0,-0.5,-0.33,-0.07,-0.05,0.01,0.0,-0.01,-0.01,-0.01,-0.1,-0.02,0.06,0.02,-0.01,-0.01,-0.01,0.0,0.02,-0.01,-0.04,-0.0,-0.0,-0.0,0.06,0.03,-0.01,0.01,-0.0,-0.0,-0.0,-0.02,0.11,-0.04,0.05,-0.02,-0.02,-0.02,0.07,0.0,0.05,-0.05,-0.03,-0.03,-0.03,0.11,-0.02,0.33,0.08,0.02,0.02,0.02,0.04,-0.02,0.04,0.04,0.01,0.01,0.01,-0.04,0.02,0.0,-1.0
1996-01-01,-1.0,-0.5,-0.33,-0.26,0.05,-0.03,0.0,-1.0,-0.5,-0.33,-0.07,0.18,0.07,0.08,0.09,0.1,0.11,0.25,0.0,0.03,0.19,0.04,0.04,0.04,0.05,0.16,0.06,0.06,-0.15,-0.13,-0.12,-0.07,-0.2,0.0,-0.08,-0.04,-0.04,-0.04,0.0,-1.0,0.02,-0.07,0.02,0.02,0.02,0.0,-0.07,0.05,0.08,-0.03,-0.02,-0.02,0.0,0.05,-0.13,0.05,-0.02,-0.02,-0.02,0.04,-0.1,-0.09,-0.04,-0.04,-0.04,-0.04,-0.06,0.11,-0.05,-0.07,0.04,0.04,0.04,0.07,-0.02,0.07,0.13,-0.03,-0.03,-0.03,-0.15,-0.02,0.03,0.0,-1.0,-0.5,-0.33,-0.05,-0.05,0.05
1996-04-01,-0.03,-0.03,-0.03,-0.01,0.04,0.04,-0.01,-0.03,-0.03,-0.02,0.01,0.03,-0.03,-0.03,-0.02,-0.02,-0.02,0.06,-0.01,-0.01,0.02,-0.04,-0.04,-0.04,0.35,0.02,0.09,0.04,-0.04,-0.04,-0.04,-0.09,0.01,0.05,0.02,0.01,0.01,0.01,0.03,-0.05,0.0,0.0,-1.0,-0.5,-0.33,0.12,0.15,0.05,-0.04,-0.02,-0.02,-0.02,-0.01,0.03,0.03,0.0,0.01,0.01,0.01,0.12,0.09,0.12,-0.06,-0.01,-0.01,-0.01,-0.07,0.16,-0.07,0.15,0.02,0.02,0.02,0.05,-0.05,-0.15,0.0,-1.0,-0.5,-0.33,-0.03,-0.03,0.17,0.04,0.0,0.0,0.0,0.09,0.21,-0.05
1996-07-01,-0.02,-0.02,-0.02,-0.05,-0.02,0.0,-0.02,0.0,0.0,0.0,-0.01,-0.01,0.01,0.01,-0.01,-0.01,-0.01,-0.02,0.0,0.03,0.02,0.0,0.0,0.0,0.08,-0.03,-0.04,0.01,-0.01,-0.01,-0.01,0.04,0.01,0.06,0.0,-1.0,-0.5,-0.33,-0.02,0.03,-0.01,0.01,-0.01,-0.01,-0.01,-0.03,0.02,0.0,-0.03,-0.01,-0.01,-0.01,-0.05,0.04,-0.05,0.01,-0.01,-0.01,-0.01,0.02,0.1,0.03,0.05,0.0,0.0,0.0,-0.03,0.02,0.01,0.02,-0.03,-0.03,-0.03,-0.05,0.03,0.02,0.02,0.01,0.01,0.01,-0.09,0.03,0.06,-0.01,0.01,0.01,0.01,0.16,0.09,0.03
1996-10-01,-0.02,-0.01,-0.01,-0.01,-0.01,0.01,0.02,0.05,-0.01,-0.01,-0.01,-0.04,0.05,0.03,-0.02,0.0,0.0,0.0,-0.04,-0.02,-0.01,0.02,0.0,0.0,0.0,-0.02,0.01,0.01,0.0,-1.0,-0.5,-0.33,0.03,0.02,0.01,-0.01,0.0,0.0,0.0,0.06,0.01,0.04,0.01,0.0,0.0,0.0,-0.03,0.01,0.01,0.07,-0.01,-0.01,-0.01,-0.04,0.03,0.01,0.02,0.01,0.01,0.01,-0.07,-0.05,-0.05,-0.01,0.0,0.0,0.0,-0.01,0.01,0.04,-0.03,0.01,0.01,0.01,0.02,-0.06,0.0,0.0,0.0,0.0,0.0,-0.04,-0.01,0.0,-0.02,-0.01,-0.01,-0.01,0.0,-1.0
1997-01-01,-1.0,0.11,-0.03,-0.03,-0.03,-0.05,0.0,-1.0,0.02,-0.02,-0.02,-0.02,-0.01,-0.06,0.01,0.0,0.0,0.0,0.0,-0.01,0.01,0.12,0.02,0.01,0.01,0.01,0.04,0.09,0.07,0.01,0.02,0.02,0.03,0.0,-1.0,0.02,0.02,-0.01,-0.01,-0.01,0.0,0.0,-0.03,-0.02,-0.0,-0.0,-0.0,0.05,-0.05,0.02,0.0,-1.0,-0.5,-0.33,0.01,-0.03,0.02,-0.05,-0.01,-0.01,-0.01,0.01,-0.05,0.0,-0.08,-0.01,-0.01,-0.01,-0.02,0.0,0.02,0.01,0.0,0.0,0.0,-0.01,-0.03,0.03,0.0,-1.0,-0.5,-0.33,-0.03,0.02,0.01,-0.01,-0.01,-0.01,-0.01,-0.06
1997-04-01,0.01,0.5,1.0,0.0,-1.0,0.06,0.11,-0.01,-0.0,-0.0,-0.0,-0.06,-0.03,-0.01,0.0,0.0,0.0,0.0,0.01,0.05,0.0,0.02,0.0,0.0,0.0,-0.03,0.0,0.03,0.01,0.0,0.0,0.0,-0.01,0.01,0.06,0.03,-0.01,-0.01,-0.01,-0.01,0.08,0.03,0.0,-1.0,-0.5,-0.33,-0.01,-0.03,-0.05,0.02,-0.01,-0.01,-0.01,-0.04,0.01,-0.01,0.0,-0.01,-0.01,-0.01,-0.03,-0.01,-0.01,-0.01,0.0,0.0,0.0,0.04,0.03,0.03,0.0,-1.0,-0.5,-0.33,0.01,0.03,0.02,-0.14,0.02,0.02,0.02,0.05,-0.03,0.02,0.03,0.0,0.0,0.0,0.0,0.0
